127.0.0.1, 2016-03-20 15:02:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059344
127.0.0.1, 2016-03-20 15:02:13, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.127168
127.0.0.1, 2016-03-20 15:03:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066896
127.0.0.1, 2016-03-20 15:03:13, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.162604
127.0.0.1, 2016-03-20 15:04:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066441
127.0.0.1, 2016-03-20 15:04:13, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.133896
127.0.0.1, 2016-03-20 15:04:34, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.046113
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/default/index, HTTP/1.1, 200, 0.247182
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000489
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000394
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000986
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.002542
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.003959
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.000651
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000928
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.001033
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003951
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.003960
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/images/background.jpg, HTTP/1.1, 304, 0.000411
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000349
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.000668
127.0.0.1, 2016-03-20 15:04:38, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000977
127.0.0.1, 2016-03-20 15:05:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.081967
127.0.0.1, 2016-03-20 15:05:13, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.677564
127.0.0.1, 2016-03-20 15:06:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046319
127.0.0.1, 2016-03-20 15:06:13, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.128142
127.0.0.1, 2016-03-20 15:06:29, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.188969
127.0.0.1, 2016-03-20 15:06:36, GET, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.047541
127.0.0.1, 2016-03-20 15:06:36, GET, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.044306
127.0.0.1, 2016-03-20 15:06:36, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.099001
127.0.0.1, 2016-03-20 15:06:37, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.203511
127.0.0.1, 2016-03-20 15:06:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.182029
127.0.0.1, 2016-03-20 15:06:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.259266
127.0.0.1, 2016-03-20 15:06:37, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.806967
127.0.0.1, 2016-03-20 15:07:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060785
127.0.0.1, 2016-03-20 15:07:37, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.144052
127.0.0.1, 2016-03-20 15:08:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.087068
